"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"1",60,"Vladimir Potanin","Russia",54,15.3999996185303,"Metals",2015,86,53,12.6000003814697,"metals",58,52,14.3000001907349,"metals",46,51,14.5,"metals",34,50,17.7999992370605,"nonferrous metals",61,49,10.3000001907349,"Russia",318,"48",2.09999990463257,"Russia",25,"47",19.2999992370605,"Russia",38,"46",13.5,"Russia",89,45,6.40000009536743,"Russia",117,44,4.40000009536743,"Russia , Moscow",85,43,4.90000009536743,"Russia , Moscow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4164
"2",68,"Mikhail Fridman","Russia",50,14.6000003814697,"Oil, Banking, Telecom",2015,47,49,17.6000003814697,"oil, banking, telecom",41,48,16.5,"oil, banking, telecom",57,47,13.3999996185303,"oil, banking, telecom",43,46,15.1000003814697,"oil, banking, telecom",42,45,12.6999998092651,"Russia",71,"44",6.30000019073486,"Russia",20,"43",20.7999992370605,"Russia",45,"42",12.6000003814697,"Russia",50,41,9.69999980926514,"Russia",60,40,7,"Russia , Moscow",73,39,5.59999990463257,"Russia , Moscow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2813
"3",71,"Alisher Usmanov","Russia",61,14.3999996185303,"Steel & Mining, Telecom, Investments",2015,40,60,18.6000003814697,"steel, telecom, investments",34,59,17.6000003814697,"steel, telecom, investments",28,58,18.1000003814697,"steel, telecom, investments",35,57,17.7000007629395,"steel, telecom, stocks",100,56,7.19999980926514,"Russia",450,"55",1.60000002384186,"Russia",91,"54",9.30000019073486,"Russia",142,"53",5.5,"Russia",278,52,2.59999990463257,"Russia",366,51,1.79999995231628,"Russia",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,182
"4",73,"Viktor Vekselberg","Russia",57,14.1999998092651,"Metals, Energy",2015,51,56,17.2000007629395,"metals, energy",52,55,15.1000003814697,"oil, metals",64,54,12.3999996185303,"oil, metals",57,53,13,"oil, metals",113,52,6.40000009536743,"Russia",397,"51",1.79999995231628,"Russia",67,"50",11.1999998092651,"Russia",61,"49",10.3999996185303,"Russia",44,48,10,"Russia",94,47,5,"Russia , Moscow",143,46,3.29999995231628,"Russia , Moscow",147,45,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4131
"5",89,"Alexey Mordashov","Russia",49,13,"Steel, Investments",2015,111,48,10.5,"steel, investments",73,47,12.8000001907349,"steel, investments",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,159
"6",96,"Vagit Alekperov","Russia",64,12.1999998092651,"Lukoil",2015,76,63,13.6000003814697,"Lukoil",55,62,14.8000001907349,"Lukoil",56,61,13.5,"Lukoil",50,60,13.8999996185303,"Lukoil",58,59,10.6000003814697,"Russia",57,"58",7.80000019073486,"Russia",56,"57",13,"Russia",48,"56",12.3999996185303,"Russia",37,55,11,"Russia",122,54,4.30000019073486,"Russia , Moscow",186,53,2.70000004768372,"Russia , Moscow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4100
"7",105,"Leonid Mikhelson","Russia",59,11.6999998092651,"Gas, Chemicals",2015,57,58,15.6000003814697,"gas, chemicals",47,57,15.3999996185303,"gas, chemicals",72,56,11.8999996185303,"gas, chemicals",99,55,9.10000038146973,"Natural gas",189,54,4.40000009536743,"Russia",285,"53",2.40000009536743,"Russia",214,"52",4.69999980926514,"Russia",194,"51",4.30000019073486,"Russia",292,50,2.5,"Russia",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2375
"8",107,"Vladimir Lisin","Russia",58,11.6000003814697,"Steel, Transport",2015,53,57,16.6000003814697,"steel, transport",62,56,14.1000003814697,"steel, transport",41,55,15.8999996185303,"steel, transport",14,54,24,"Steel",32,53,15.8000001907349,"Russia",93,"52",5.19999980926514,"Russia",21,"51",20.2999992370605,"Russia",36,"50",14.3000001907349,"Russia",41,49,10.6999998092651,"Russia",60,48,7,"Russia , Moscow",124,47,3.79999995231628,"Russia , Moscow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4159
"9",118,"Gennady Timchenko","Russia",62,10.6999998092651,"Oil & Gas",2015,61,61,15.3000001907349,"oil & gas",62,60,14.1000003814697,"oil & gas",99,59,9.10000038146973,"oil & gas",185,58,5.5,"oil trading",536,57,1.89999997615814,"Switzerland",NA,"",NA,"",462,"55",2.5,"Switzerland",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1286
"10",125,"Mikhail Prokhorov","Russia",49,9.89999961853027,"Investments",2015,109,48,10.8999996185303,"investments",69,47,13,"investments",58,46,13.1999998092651,"investments",32,45,18,"Investments",39,44,13.3999996185303,"Russia",40,"43",9.5,"Russia",24,"42",19.5,"Russia",38,"41",13.5,"Russia",89,40,6.40000009536743,"Russia",117,39,4.40000009536743,"Russia , Moscow",90,38,4.80000019073486,"Russia , Moscow",256,37,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2818
