"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"1",NA,"Thyssen-Bornemisza","--",NA,NA,"",1999,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,2,NA,NA,"",NA,NA,NA,NA,4006
"2",577,"Issad Rebrab","Algeria",71,3.09999990463257,"Food",2015,506,70,3.20000004768372,"food",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1690
"3",534,"Isabel dos Santos","Angola",41,3.29999995231628,"Investments",2015,408,40,3.70000004768372,"investments",736,40,2,"investments",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1684
"4",283,"Carlos and Alejandro Bulgheroni","Argentina",NA,5.30000019073486,"Oil And Gas",2015,256,NA,5.5,"oil and gas",219,NA,5.5,"oil and gas",199,NA,5.09999990463257,"Energy",200,NA,5.09999990463257,"Bridas",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,617
"5",1006,"Eduardo Eurnekian","Argentina",82,1.89999997615814,"Airports, Investments",2015,931,81,1.89999997615814,"airports, investments",831,70,1.79999995231628,"cable tv, agriculture",719,78,1.79999995231628,"cable tv, agriculture",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1013
"6",1226,"Gregorio Perez Companc","Argentina",79,1.60000002384186,"Oil And Gas",2015,1154,78,1.5,"oil and gas",974,77,1.5,"oil and gas",854,77,1.5,"food products",879,76,1.39999997615814,"food products",488,75,2,"Argentina",397,"74",1.79999995231628,"Argentina",573,"73",2.09999990463257,"Argentina",583,"72",1.70000004768372,"Argentina",451,71,1.70000004768372,"Argentina",387,70,1.70000004768372,"Argentina , Buenos Aires",356,69,1.60000002384186,"Argentina , Buenos Aires",256,68,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1381
"7",1415,"Maria Ines de Lafuente Lacroze","Argentina",70,1.29999995231628,"Cement Firm",2015,1372,69,1.20000004768372,"cement firm inheritance",1175,68,1.20000004768372,"inheritance",1015,67,1.20000004768372,"inherited",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2607
"8",1638,"Alberto Roemmers","Argentina",88,1.10000002384186,"Pharmaceuticals",2015,1372,56,1.20000004768372,"pharmaceuticals",1268,55,1.10000002384186,"pharmaceuticals",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,117
"9",NA,"Rocca, Roberto and","Argentina",NA,NA,"",1999,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,2.29999995231628,107,3.20000004768372,"diversified",NA,NA,NA,NA,3440
"10",NA,"Rocca, Roberto & family","Argentina",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,312,1.60000002384186,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3439
